zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL
1233323,FOR_SALE,Active,,210000,,,,,,10454.4,sqft,4,2,"1213 Taylor Dr E, Indianapolis, IN 46219",1213 Taylor Dr E,Indianapolis,IN,46219,39.78474,-86.05953,Trueblood Real Estate,FALSE,,,https://photos.zillowstatic.com/fp/cccbfb99475f7110cfcc195ed2df2ce9-p_e.jpg,https://www.zillow.com/homedetails/1213-Taylor-Dr-E-Indianapolis-IN-46219/1233323_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
1096583,FOR_SALE,Active,,199900,,,,,1394,5662.8,sqft,4,2,"1310 N Oakland Ave, Indianapolis, IN 46201",1310 N Oakland Ave,Indianapolis,IN,46201,39.785206,-86.112724,Keller Williams Indy Metro S,FALSE,,,https://photos.zillowstatic.com/fp/9b0a9f5ea909b1c773980e896596f15e-p_e.jpg,https://www.zillow.com/homedetails/1310-N-Oakland-Ave-Indianapolis-IN-46201/1096583_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
1297536,FOR_SALE,Active,,225000,,,221400,,1375,0.31,acres,4,2,"1402 N High School Rd, Indianapolis, IN 46224",1402 N High School Rd,Indianapolis,IN,46224,39.784477,-86.26888,@properties,FALSE,,,https://photos.zillowstatic.com/fp/badb9ac09859c671eea5931dfc7d84ac-p_e.jpg,https://www.zillow.com/homedetails/1402-N-High-School-Rd-Indianapolis-IN-46224/1297536_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
1233552,FOR_SALE,Active,,192500,,,,,,6534,sqft,4,2,"2417 N Bolton Ave, Indianapolis, IN 46218",2417 N Bolton Ave,Indianapolis,IN,46218,39.800938,-86.06663,"JUST LIV, LLC",FALSE,,,https://photos.zillowstatic.com/fp/26ffa7982e1a1cb3c1966dec99d86e31-p_e.jpg,https://www.zillow.com/homedetails/2417-N-Bolton-Ave-Indianapolis-IN-46218/1233552_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
1234811,FOR_SALE,Active,,192500,,,,,,9147.6,sqft,4,2,"2413 N Bolton Ave, Indianapolis, IN 46218",2413 N Bolton Ave,Indianapolis,IN,46218,39.80075,-86.06664,"JUST LIV, LLC",FALSE,,,https://photos.zillowstatic.com/fp/aa80025bc90d9dc98e34b70072bb51ed-p_e.jpg,https://www.zillow.com/homedetails/2413-N-Bolton-Ave-Indianapolis-IN-46218/1234811_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
1212157,FOR_SALE,Active,,220000,1824,121,,,1603,8712,sqft,4,2,"3745 N Kercheval Dr, Indianapolis, IN 46226",3745 N Kercheval Dr,Indianapolis,IN,46226,39.824467,-86.03985,F.C. Tucker Company,FALSE,,,https://photos.zillowstatic.com/fp/fd46b65c3348a1d4ce649260fd2786e9-p_e.jpg,https://www.zillow.com/homedetails/3745-N-Kercheval-Dr-Indianapolis-IN-46226/1212157_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
1175875,FOR_SALE,Active,,210000,2204,95,,,,0.46,acres,2,1,"4435 Blackstone Dr, Indianapolis, IN 46237",4435 Blackstone Dr,Indianapolis,IN,46237,39.68426,-86.09298,"Real Broker, LLC",FALSE,,,https://photos.zillowstatic.com/fp/8a4d6fe92333fde4068e56aae9d6a64f-p_e.jpg,https://www.zillow.com/homedetails/4435-Blackstone-Dr-Indianapolis-IN-46237/1175875_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
1124149,FOR_SALE,Active,,219900,1400,157,,,,0.37,acres,3,2,"6834 Bonny Dr, Indianapolis, IN 46221",6834 Bonny Dr,Indianapolis,IN,46221,39.664146,-86.29005,"Smart Choice Realtors, LLC",FALSE,,,https://photos.zillowstatic.com/fp/31bfd592da1b1b7ce24c6ced7d6e0566-p_e.jpg,https://www.zillow.com/homedetails/6834-Bonny-Dr-Indianapolis-IN-46221/1124149_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
59814204,FOR_SALE,Active,,209900,1288,163,,,1578,6534,sqft,3,2,"7107 Red Lake Ct, Indianapolis, IN 46217",7107 Red Lake Ct,Indianapolis,IN,46217,39.662006,-86.20799,Witte Realty Group LLC,FALSE,,,https://photos.zillowstatic.com/fp/78709a1bc8492b94caf1e004a17561be-p_e.jpg,https://www.zillow.com/homedetails/7107-Red-Lake-Ct-Indianapolis-IN-46217/59814204_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
1115254,FOR_SALE,Active,,200000,2028,99,,,,0.31,acres,3,2,"4909 E Minnesota St, Indianapolis, IN 46203",4909 E Minnesota St,Indianapolis,IN,46203,39.745342,-86.08674,Key Realty Indiana,FALSE,,,https://photos.zillowstatic.com/fp/208e01a302a5392d9de81d0144120f1d-p_e.jpg,https://www.zillow.com/homedetails/4909-E-Minnesota-St-Indianapolis-IN-46203/1115254_zpid/,https://www.zillow.com/indianapolis-in/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.98549337585693%2C%22south%22%3A39.573894034453%2C%22east%22%3A-85.81440165625001%2C%22west%22%3A-86.47358134375001%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32149%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%7D
