zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL
991854,FOR_SALE,Multi-family home for sale,,200100,1700,118,,,1317,,,4,2,"1607 3rd Ave W, Birmingham, AL 35208",1607 3rd Ave W,Birmingham,AL,35208,33.504852,-86.86325,DCC Equal Financial LLC,FALSE,,,https://photos.zillowstatic.com/fp/35fa1156774a2513fc608cc015b1dc33-p_e.jpg,https://www.zillow.com/homedetails/1607-3rd-Ave-W-Birmingham-AL-35208/991854_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
951746,FOR_SALE,Multi-family home for sale,,215000,2310,93,,,,,,5,3,"510 79th St S, Birmingham, AL 35206",510 79th St S,Birmingham,AL,35206,33.561108,-86.719154,Keller Williams Metro North,FALSE,,,https://photos.zillowstatic.com/fp/1da1df7a09874ad3ebcc20391d6682cb-p_e.jpg,https://www.zillow.com/homedetails/510-79th-St-S-Birmingham-AL-35206/951746_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
949221,FOR_SALE,Multi-family home for sale,,59900,1554,39,,,1174,,,3,2,"8530 2nd Ave N, Birmingham, AL 35206",8530 2nd Ave N,Birmingham,AL,35206,33.57635,-86.72094,Sell Your Home Services,FALSE,,,https://photos.zillowstatic.com/fp/3d6ee025af3823ebfd3315af46830220-p_e.jpg,https://www.zillow.com/homedetails/8530-2nd-Ave-N-Birmingham-AL-35206/949221_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
1006345,FOR_SALE,House for sale,,169900,1495,114,164500,110,1153,,sqft,3,2,"1229 18th St SW, Birmingham, AL 35211",1229 18th St SW,Birmingham,AL,35211,33.477543,-86.86484,Alabama Realty Brokers III,FALSE,,,https://photos.zillowstatic.com/fp/cdae00599e31551a0854cc24fa781812-p_e.jpg,https://www.zillow.com/homedetails/1229-18th-St-SW-Birmingham-AL-35211/1006345_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
944321,FOR_SALE,House for sale,,199900,2069,97,,,,0.45,acres,5,2,"8915 Roebuck Blvd, Birmingham, AL 35206",8915 Roebuck Blvd,Birmingham,AL,35206,33.581573,-86.710815,ARC Realty - Homewood,FALSE,,,https://photos.zillowstatic.com/fp/14950f8088304018f32d8c9231d52ebc-p_e.jpg,https://www.zillow.com/homedetails/8915-Roebuck-Blvd-Birmingham-AL-35206/944321_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
898255,FOR_SALE,House for sale,,139000,2190,63,,,,0.35,acres,4,2,"100 Nekoma Dr, Birmingham, AL 35215",100 Nekoma Dr,Birmingham,AL,35215,33.616104,-86.69036,Keller Williams Realty Hoover,FALSE,,,https://photos.zillowstatic.com/fp/339558d49921c489dfdf3e75f308e9d6-p_e.jpg,https://www.zillow.com/homedetails/100-Nekoma-Dr-Birmingham-AL-35215/898255_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
903996,FOR_SALE,Foreclosure,,231100,2352,98,,,,0.32,acres,3,2,"928 Dunridge Dr, Birmingham, AL 35215",928 Dunridge Dr,Birmingham,AL,35215,33.627487,-86.71986,RE/MAX Realty Brokers,FALSE,,,https://photos.zillowstatic.com/fp/ee51917f5fdd58fa29f91bfec50e6c87-p_e.jpg,https://www.zillow.com/homedetails/928-Dunridge-Dr-Birmingham-AL-35215/903996_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
1000958,FOR_SALE,House for sale,,25000,1734,14,,,1182,0.32,acres,3,1,"1257 16th St SW, Birmingham, AL 35211",1257 16th St SW,Birmingham,AL,35211,33.48178,-86.85283,Sell Your Home Services,FALSE,,,https://photos.zillowstatic.com/fp/86981731eef8d80008465fe7cdde21c7-p_e.jpg,https://www.zillow.com/homedetails/1257-16th-St-SW-Birmingham-AL-35211/1000958_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
905931,FOR_SALE,Coming soon,,225000,1789,126,,,,0.4,acres,3,2,"312 Orchid Rd, Birmingham, AL 35215",312 Orchid Rd,Birmingham,AL,35215,33.614994,-86.701706,RealtySouth-Homewood,FALSE,,,https://photos.zillowstatic.com/fp/0c24d6bab08a8a1f4f76fe09451e142a-p_e.jpg,https://www.zillow.com/homedetails/312-Orchid-Rd-Birmingham-AL-35215/905931_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
904069,FOR_SALE,House for sale,,225000,1584,142,221800,140,1359,0.28,acres,3,2,"821 Seven Springs Dr, Birmingham, AL 35215",821 Seven Springs Dr,Birmingham,AL,35215,33.624653,-86.713684,Keller Williams Realty Vestavia,FALSE,,,https://photos.zillowstatic.com/fp/8f90a7e08701482ccaad051c5587cd7a-p_e.jpg,https://www.zillow.com/homedetails/821-Seven-Springs-Dr-Birmingham-AL-35215/904069_zpid/,https://www.zillow.com/birmingham-al/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A33.74435876148481%2C%22south%22%3A33.297854325080785%2C%22east%22%3A-86.51905065625%2C%22west%22%3A-87.17823034375%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A250000%7D%2C%22mp%22%3A%7B%22max%22%3A1263%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10417%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Birmingham%20AL%22%7D
