zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL
33337952,FOR_SALE,Multi-family home for sale,,195000,1626,120,,,,7400.844,sqft,5,2,"1735 Buhrer Ave, Cleveland, OH 44109",1735 Buhrer Ave,Cleveland,OH,44109,41.46749,-81.69521,Key Realty,FALSE,,,https://photos.zillowstatic.com/fp/d874b6e62ad546a9b7f18de01fd98d7f-p_e.jpg,https://www.zillow.com/homedetails/1735-Buhrer-Ave-Cleveland-OH-44109/33337952_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
33432512,FOR_SALE,Foreclosure,,69680,2004,35,,,,5000.688,sqft,4,2,"3624 E 118th St, Cleveland, OH 44105",3624 E 118th St,Cleveland,OH,44105,41.46018,-81.60098,"Lokal Real Estate, LLC.",FALSE,,,https://photos.zillowstatic.com/fp/adbc8ec1508c99e81b4f295654faba27-p_e.jpg,https://www.zillow.com/homedetails/3624-E-118th-St-Cleveland-OH-44105/33432512_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
33386415,FOR_SALE,For sale by owner,,25000,1270,20,,,1559,0.4,acres,3,1,"1311 E 88th St, Cleveland, OH 44106",1311 E 88th St,Cleveland,OH,44106,41.52017,-81.62628,,FALSE,,,https://photos.zillowstatic.com/fp/8eb9e2396e7c40d613921f3d7f3fedd1-p_e.jpg,https://www.zillow.com/homedetails/1311-E-88th-St-Cleveland-OH-44106/33386415_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
33416116,FOR_SALE,Auction,,,2628,0,,,1076,6098.4,sqft,5,2,"3107 E 98th St, Cleveland, OH 44104",3107 E 98th St,Cleveland,OH,44104,41.474182,-81.61617,,FALSE,,,https://photos.zillowstatic.com/fp/5a25379fa8b239501f0219f6140d78d7-p_e.jpg,https://www.zillow.com/homedetails/3107-E-98th-St-Cleveland-OH-44104/33416116_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
134187307,FOR_SALE,Multi-family home for sale,,215000,2906,74,,,,6773.58,sqft,2,2,"4521 Warner Rd, Cleveland, OH 44105",4521 Warner Rd,Cleveland,OH,44105,41.436398,-81.629005,Keller Williams Greater Metropolitan,FALSE,,,https://photos.zillowstatic.com/fp/71ef1cebe61fd4f4632f89619f9e087d-p_e.jpg,https://www.zillow.com/homedetails/4521-Warner-Rd-Cleveland-OH-44105/134187307_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
33350236,FOR_SALE,Multi-family home for sale,,119900,1744,69,,,,4234.032,sqft,4,2,"3925 Memphis Ave, Cleveland, OH 44109",3925 Memphis Ave,Cleveland,OH,44109,41.439606,-81.711555,"Equity Star Realty, LLC.",FALSE,,,https://photos.zillowstatic.com/fp/3963a8cec3db239921309f83ed4320cf-p_e.jpg,https://www.zillow.com/homedetails/3925-Memphis-Ave-Cleveland-OH-44109/33350236_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
33389298,FOR_SALE,Multi-family home for sale,,24900,,,,,,3519.648,sqft,5,3,"10411 Parkgate Ave, Cleveland, OH 44108",10411 Parkgate Ave,Cleveland,OH,44108,41.528744,-81.616,Russell Real Estate Services,FALSE,,,https://photos.zillowstatic.com/fp/4d776c7d01827255ad7b849a11ab2195-p_e.jpg,https://www.zillow.com/homedetails/10411-Parkgate-Ave-Cleveland-OH-44108/33389298_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
33383884,FOR_SALE,Multi-family home for sale,,50000,,,,,,5950.296,sqft,4,2,"1001 E 74th St, Cleveland, OH 44103",1001 E 74th St,Cleveland,OH,44103,41.527687,-81.63682,"Red 1 Realty, LLC",FALSE,,,https://photos.zillowstatic.com/fp/20f6d4e49aa500260f868a414a841f0e-p_e.jpg,https://www.zillow.com/homedetails/1001-E-74th-St-Cleveland-OH-44103/33383884_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
33442084,FOR_SALE,House for sale,,209900,2712,77,,,,9779.22,sqft,5,3,"16116 Judson Dr, Cleveland, OH 44128",16116 Judson Dr,Cleveland,OH,44128,41.44659,-81.56801,Keller Williams Citywide,FALSE,,,https://photos.zillowstatic.com/fp/0a0f5a5ea44156d43b142d575f12f292-p_e.jpg,https://www.zillow.com/homedetails/16116-Judson-Dr-Cleveland-OH-44128/33442084_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
82181835,FOR_SALE,Multi-family home for sale,,215000,2224,97,,,,0.43,acres,4,2,"1984 W 75th St, Cleveland, OH 44102",1984 W 75th St,Cleveland,OH,44102,41.4774,-81.73693,McDowell Homes Real Estate Services,FALSE,,,https://photos.zillowstatic.com/fp/b463407f8253d8e5b82efee7e566c302-p_e.jpg,https://www.zillow.com/homedetails/1984-W-75th-St-Cleveland-OH-44102/82181835_zpid/,https://www.zillow.com/cleveland-oh/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A41.69788110305828%2C%22south%22%3A41.29673821792108%2C%22east%22%3A-81.37627015625%2C%22west%22%3A-82.03544984375%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A24115%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Cleveland%20OH%22%7D
