zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL
442950953,FOR_SALE,Foreclosure,,89900,1944,46,,,,5662.8,sqft,4,2,"5541-5543 Balfour Rd, Detroit, MI 48224",5541-5543 Balfour Rd,Detroit,MI,48224,42.403667,-82.94956,Innovation Real Estate Specialists Inc.,FALSE,,,https://photos.zillowstatic.com/fp/f9e9626467eb7b3fb74c82b1991077b4-p_e.jpg,https://www.zillow.com/homedetails/5541-5543-Balfour-Rd-Detroit-MI-48224/442950953_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
88249395,FOR_SALE,Condo for sale,,225000,2540,89,215600,85,1662,,,3,3,"8162 E Jefferson Ave #8A, Detroit, MI 48214",8162 E Jefferson Ave #8A,Detroit,MI,48214,42.35081,-82.99165,"O'Connor Realty Detroit, LLC",FALSE,,,https://photos.zillowstatic.com/fp/47423e31491a277354b6f452e76d790c-p_e.jpg,https://www.zillow.com/homedetails/8162-E-Jefferson-Ave-8A-Detroit-MI-48214/88249395_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
88441497,FOR_SALE,House for sale,,99900,1932,52,96000,50,1274,4791.6,sqft,3,1,"14015 Terry St, Detroit, MI 48227",14015 Terry St,Detroit,MI,48227,42.388958,-83.19151,KW Professionals,FALSE,,,https://photos.zillowstatic.com/fp/1a27b80b3e6b458175d3435cd07fa74a-p_e.jpg,https://www.zillow.com/homedetails/14015-Terry-St-Detroit-MI-48227/88441497_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
88212093,FOR_SALE,Condo for sale,,654999,3406,192,642100,189,2896,0.31,acres,3,3,"170 Keelson Dr, Detroit, MI 48215",170 Keelson Dr,Detroit,MI,48215,42.35676,-82.944695,James R. Fikany Real Estate Co,FALSE,,,https://photos.zillowstatic.com/fp/5d11504e5ecea931135292ac1d9f4ceb-p_e.jpg,https://www.zillow.com/homedetails/170-Keelson-Dr-Detroit-MI-48215/88212093_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
88315155,FOR_SALE,House for sale,,15000,1264,12,,,1188,8712,sqft,2,1,"14434 Houston Whittier St, Detroit, MI 48205",14434 Houston Whittier St,Detroit,MI,48205,42.420296,-82.97353,HJS Realty,FALSE,,,https://photos.zillowstatic.com/fp/771bc52c9505589676cef333ddcb2c04-p_e.jpg,https://www.zillow.com/homedetails/14434-Houston-Whittier-St-Detroit-MI-48205/88315155_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
88560961,FOR_SALE,House for sale,,174990,2050,85,172300,84,2428,3049.2,sqft,3,4,"2914 Saint Clair St, Detroit, MI 48214",2914 Saint Clair St,Detroit,MI,48214,42.371384,-82.98311,EXP Realty LLC,FALSE,,,https://photos.zillowstatic.com/fp/03d54b25aa84766ea4492e6fb18d4a30-p_e.jpg,https://www.zillow.com/homedetails/2914-Saint-Clair-St-Detroit-MI-48214/88560961_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
88725956,FOR_SALE,House for sale,,114999,912,126,,,1290,5227.2,sqft,3,1,"12641 Mansfield St, Detroit, MI 48227",12641 Mansfield St,Detroit,MI,48227,42.38061,-83.20422,"eXp Realty, LLC",FALSE,,,https://photos.zillowstatic.com/fp/8067c04a6a172d6ffce2bc855c14c87b-p_e.jpg,https://www.zillow.com/homedetails/12641-Mansfield-St-Detroit-MI-48227/88725956_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
2137675449,FOR_SALE,Condo for sale,,335000,1449,231,324300,224,2640,,,2,2,"200 River Place Dr APT 26, Detroit, MI 48207",200 River Place Dr APT 26,Detroit,MI,48207,42.33706,-83.015625,Coldwell Banker Professionals-GPF,FALSE,,,https://photos.zillowstatic.com/fp/69404c59ad3e75457d1bb52671c82a3f-p_e.jpg,https://www.zillow.com/homedetails/200-River-Place-Dr-APT-26-Detroit-MI-48207/2137675449_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
88433164,FOR_SALE,House for sale,,149900,2157,69,147200,68,1491,0.43,acres,3,3,"18308 Winston St, Detroit, MI 48219",18308 Winston St,Detroit,MI,48219,42.42311,-83.28351,Keller Williams Legacy,FALSE,,,https://photos.zillowstatic.com/fp/ffa66bc324e7ae5b0b0609352fc4b605-p_e.jpg,https://www.zillow.com/homedetails/18308-Winston-St-Detroit-MI-48219/88433164_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
111940548,FOR_SALE,Foreclosure,,175000,1416,124,171800,121,1223,4356,sqft,3,2,"(undisclosed Address), Detroit, MI 48221",(undisclosed Address),Detroit,MI,48221,,,RE/MAX Showcase Homes,FALSE,,,https://photos.zillowstatic.com/fp/0b03c0b020f2fed18d57d23c8ce67933-p_e.jpg,https://www.zillow.com/homedetails/Detroit-MI-48221/111940548_zpid/,https://www.zillow.com/detroit-mi/5_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A42.550375996529496%2C%22south%22%3A42.15457417687613%2C%22east%22%3A-82.76961515625001%2C%22west%22%3A-83.42879484375001%7D%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3Anull%7D%2C%22mp%22%3A%7B%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17762%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22category%22%3A%22cat1%22%7D
