zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL
42157597,FOR_SALE,House for sale,,80000,,,,,1961,5662.8,sqft,5,2,"2123 Heard Ave, Memphis, TN 38108",2123 Heard Ave,Memphis,TN,38108,35.18135,-89.98607,Coldwell Banker Collins-Maury,FALSE,,,https://photos.zillowstatic.com/fp/e8682d15dc866edf3a1c0cccfb2f6ec5-p_e.jpg,https://www.zillow.com/homedetails/2123-Heard-Ave-Memphis-TN-38108/42157597_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
62866560,FOR_SALE,House for sale,,225000,,,225900,,1644,8712,sqft,3,2,"1427 Sandy Stone Ln, Cordova, TN 38016",1427 Sandy Stone Ln,Cordova,TN,38016,35.164314,-89.79185,"BHHS McLemore & Co., Realty",FALSE,,,https://photos.zillowstatic.com/fp/09503c9a3d112bfc61f121c2a3b78c26-p_e.jpg,https://www.zillow.com/homedetails/1427-Sandy-Stone-Ln-Cordova-TN-38016/62866560_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
42237966,FOR_SALE,House for sale,,219999,,,,,1426,9583.2,sqft,3,2,"4996 Teal Ave, Memphis, TN 38118",4996 Teal Ave,Memphis,TN,38118,35.05962,-89.89701,Turn Key Realty Group,FALSE,,,https://photos.zillowstatic.com/fp/d6f9d9602df43ece91d0dc0c82612763-p_e.jpg,https://www.zillow.com/homedetails/4996-Teal-Ave-Memphis-TN-38118/42237966_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
42137275,FOR_SALE,House for sale,,224900,,,216400,,1441,5662.8,sqft,5,4,"1358 S Pkwy E, Memphis, TN 38106",1358 S Pkwy E,Memphis,TN,38106,35.109783,-90.01712,"KAIZEN Realty, LLC",FALSE,,,https://photos.zillowstatic.com/fp/31147be395f27077b61829b15ec0a4bc-p_e.jpg,https://www.zillow.com/homedetails/1358-S-Pkwy-E-Memphis-TN-38106/42137275_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
55302364,FOR_SALE,House for sale,,640000,,,633000,,2970,0.25,acres,5,3,"442 McElroy Rd, Memphis, TN 38120",442 McElroy Rd,Memphis,TN,38120,35.143528,-89.88322,"Franchise Realty, LLC",FALSE,,,https://photos.zillowstatic.com/fp/490ec537c5edd0b2539a9220706e97ba-p_e.jpg,https://www.zillow.com/homedetails/442-McElroy-Rd-Memphis-TN-38120/55302364_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
42281349,FOR_SALE,Multi-family home for sale,,245000,,,243600,,1134,,,5,5,"2210 Birken Dr, Memphis, TN 38134",2210 Birken Dr,Memphis,TN,38134,35.18546,-89.84394,Keller Williams,FALSE,,,https://photos.zillowstatic.com/fp/afbcfd8bd2bfe736a57eb22d47b4a531-p_e.jpg,https://www.zillow.com/homedetails/2210-Birken-Dr-Memphis-TN-38134/42281349_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
42162974,FOR_SALE,Multi-family home for sale,,224900,,,222000,,1833,,,4,2,"3272 Walnut Grove Rd, Memphis, TN 38111",3272 Walnut Grove Rd,Memphis,TN,38111,35.133785,-89.952576,Paradigm21 Realty,FALSE,,,https://photos.zillowstatic.com/fp/90c0586a7864f4463449119c42085120-p_e.jpg,https://www.zillow.com/homedetails/3272-Walnut-Grove-Rd-Memphis-TN-38111/42162974_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
42163525,FOR_SALE,Multi-family home for sale,,429000,,,421600,,2050,,,5,2,"3646 Walnut Grove Rd, Memphis, TN 38111",3646 Walnut Grove Rd,Memphis,TN,38111,35.132156,-89.94014,Crye-Leike Commercial,FALSE,,,https://photos.zillowstatic.com/fp/a61434d8ebaa7679444b3051a7cc249d-p_e.jpg,https://www.zillow.com/homedetails/3646-Walnut-Grove-Rd-Memphis-TN-38111/42163525_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
42165800,FOR_SALE,Multi-family home for sale,,218901,,,211500,,1129,,,2,2,"263 Buntyn St, Memphis, TN 38111",263 Buntyn St,Memphis,TN,38111,35.12496,-89.97182,"Bluff City Realty Group, LLC",FALSE,,,https://photos.zillowstatic.com/fp/25d4e62815050436c41cad3c5e22bb15-p_e.jpg,https://www.zillow.com/homedetails/263-Buntyn-St-Memphis-TN-38111/42165800_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
42259968,FOR_SALE,House for sale,,209900,,,208300,,1637,0.45,acres,4,3,"5193 Queen Elizabeth Fwy, Memphis, TN 38116",5193 Queen Elizabeth Fwy,Memphis,TN,38116,35.006752,-89.99864,"Reedy & Company, REALTORS",FALSE,,,https://photos.zillowstatic.com/fp/400ca4e90cbec5047f94aea394efa49a-p_e.jpg,https://www.zillow.com/homedetails/5193-Queen-Elizabeth-Fwy-Memphis-TN-38116/42259968_zpid/,https://www.zillow.com/memphis-tn/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A35.566147668654914%2C%22south%22%3A34.69009207166804%2C%22east%22%3A-89.31160731250002%2C%22west%22%3A-90.62996668750002%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32811%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22category%22%3A%22cat1%22%2C%22listPriceActive%22%3Atrue%2C%22usersSearchTerm%22%3A%22Memphis%20TN%22%7D
